user_id,login,contributor_name,joining_date
5363448,paescuj,paescuj,
1068280,rsamborski,rsamborski,
1507328,sampart,sampart,
2503307,hobbyquaker,hobbyquaker,
1596025,simskij,simskij,
164072,steven2358,steven2358,
926653,TalAter,TalAter,
877585,thibaudcolas,thibaudcolas,
502396,bnb,bnb,
6413976,Ly0n,Ly0n,
13087421,tobiasbueschel,tobiasbueschel,
181436,uraimo,uraimo,
28584151,jjangga0214,jjangga0214,
9436061,pokeball99,pokeball99,
619015,uralbash,uralbash,
3624712,veelenga,veelenga,
499254,caesar0301,caesar0301,
11811904,ooade,ooade,
30164700,thisisisa,thisisisa,
15367484,ReadmeCritic,ReadmeCritic,
8079861,hkirat,hkirat,
4660275,sobolevn,sobolevn,
16003228,tyaga001,tyaga001,
30265053,Karneades,Karneades,
7698600,aorumbayev,aorumbayev,
5111931,aschrijver,aschrijver,
357237,arbox,arbox,
7255542,n1trux,n1trux,
1253802,danvoyce,danvoyce,
7883702,DanailMinchev,DanailMinchev,
626772,FylmTM,FylmTM,
241271,felipebueno,felipebueno,
121766,feross,feross,
8896044,mcanouil,mcanouil,
25416,michelpereira,michelpereira,
2018167,mjhea0,mjhea0,
499267,vmax,vmax,
938453,matiassingers,matiassingers,
4084527,riderx,riderx,
3988101,lucasviola,lucasviola,
8463904,kozross,kozross,
2096101,Kikobeats,Kikobeats,
206854,kasbah,kasbah,
398230,jdorfman,jdorfman,
3885578,jyguyomarch,jyguyomarch,
4928335,dreamingechoes,dreamingechoes,
40147294,marveluck,marveluck,
944838,lutzh,lutzh,
6220504,ucg8j,ucg8j,
4551696,lmichelbacher,lmichelbacher,
1014326,LucasBassetti,LucasBassetti,
8954023,0Lola,0Lola,
1445984,LewisJEllis,LewisJEllis,
11961778,leomaurodesenv,leomaurodesenv,
22118060,LeonardoFurtado,LeonardoFurtado,
2861690,secretGeek,secretGeek,
121322,leereilly,leereilly,
37769974,notlmn,notlmn,
9600228,lauthieb,lauthieb,
25672237,CompSciLauren,CompSciLauren,
456426,webpro,webpro,
14703164,yeskunall,yeskunall,
17183113,krzjoa,krzjoa,
414023,krisskross,krisskross,
923973,maltsev,maltsev,
2608311,kzbt,kzbt,
1860176,KimberlyMunoz,KimberlyMunoz,
4658208,matchai,matchai,
1075116,MartinZikmund,MartinZikmund,
9962296,MartinMiles,MartinMiles,
18517402,MartinKavik,MartinKavik,
60222,martijndeb,martijndeb,
254488,markusschanta,markusschanta,
290647,mark-rushakoff,mark-rushakoff,
7525285,keller-mark,keller-mark,
1217782,mariusoe,mariusoe,
1703429,desiderantes,desiderantes,
1885008,margaretmz,margaretmz,
5244986,marcobiedermann,marcobiedermann,
8957346,herrbischoff,herrbischoff,
576701,markets,markets,
48738,Boldewyn,Boldewyn,
1191767,manuzhang,manuzhang,
94029,moul,moul,
21981508,mhxion,mhxion,
4617010,madphysicist,madphysicist,
1976088,maciejczyzewski,maciejczyzewski,
12574651,0xFA11,0xFA11,
45270788,efectn,efectn,
17963,jonleibowitz,jonleibowitz,
3644972,j0hnm4r5,j0hnm4r5,
5324735,jhngrant,jhngrant,
916309,DataDaoDe,DataDaoDe,
4092,joho,joho,
25485293,joewdavies,joewdavies,
23920,unixorn,unixorn,
14363444,BubuAnabelas,BubuAnabelas,
1230963,mezod,mezod,
2831504,kjw0612,kjw0612,
1142758,jetli,jetli,
1175189,JesseTG,JesseTG,
1143308,jeroenverfallie,jeroenverfallie,
85608,jakoch,jakoch,
220893951,JeevanYewale,JeevanYewale,
1516059,jbmoelker,jbmoelker,
7057863,yenchenlin,yenchenlin,
6169473,lnishan,lnishan,
7459310,jaredthecoder,jaredthecoder,
