user_id,repo_id,exact_contributions
30267855,3638964,1
8676741,196701619,1
6293598,626805178,1
346530,196701619,1
1849576,90796663,1
3709715,699532645,1
71131586,196701619,1
103033530,85077558,1
120714773,626805178,1
29108628,699532645,1
3669502,90796663,1
7221389,44571718,1
15162,3638964,1
42531877,90796663,1
1419467,3638964,1
90605717,85077558,1
102547056,196701619,1
46273173,626805178,1
911174,90796663,1
1835830,699532645,1
6111524,44571718,1
115072020,85077558,1
61050022,626805178,1
18085551,196701619,1
3905935,3638964,1
11697082,699532645,1
7794903,85077558,1
81847,44571718,1
26165922,90796663,1
5905773,626805178,1
17906,699532645,1
31554212,196701619,1
766524,196701619,1
244287281,699532645,1
636610,3638964,1
1500781,626805178,1
112463384,699532645,1
1233188,44571718,1
16739787,44571718,1
102175066,626805178,1
186771458,85077558,1
1356830,3638964,1
2646763,90796663,1
25783780,90796663,1
1641515,196701619,1
124649773,85077558,1
1881921,44571718,1
139040345,85077558,1
36310445,3638964,1
57287988,90796663,1
60300461,196701619,1
24502230,626805178,1
41913261,699532645,1
27926,44571718,1
56065974,85077558,1
3384302,3638964,1
142302761,699532645,1
1058433,196701619,1
6477452,626805178,1
19703819,44571718,1
357499,90796663,1
29599601,196701619,1
44939412,626805178,1
2193706,90796663,1
23628,3638964,1
48911144,85077558,1
121796315,699532645,1
43930,3638964,1
513275,44571718,1
84499939,699532645,1
13049130,44571718,1
68903741,626805178,1
76428958,85077558,1
721038,90796663,1
7584391,196701619,1
255278969,626805178,1
1325798,3638964,1
8084606,44571718,1
97060,196701619,1
181730535,626805178,1
115491784,85077558,1
3984438,85077558,1
1562458,3638964,1
2680980,699532645,1
654645,90796663,1
19628575,196701619,1
173025,90796663,1
5835766,44571718,1
4542862,3638964,1
30350348,44571718,1
46880100,196701619,1
26635690,85077558,1
4115224,699532645,1
1450460,699532645,1
31057849,85077558,1
37332069,626805178,1
45992437,626805178,1
854406,44571718,1
130013,90796663,1
49379,3638964,1
77888,3638964,1
5557458,90796663,1
67171953,85077558,1
72801,196701619,1
16212576,699532645,1
218712309,626805178,1
31227919,196701619,1
3761400,90796663,1
38807139,699532645,1
33052466,626805178,1
111435568,85077558,1
1683045,3638964,1
95156,3638964,1
14927668,44571718,1
4189790,626805178,1
161067,699532645,1
33101478,90796663,1
74678373,85077558,1
21992789,85077558,1
93177021,196701619,1
18436461,44571718,1
1542625,3638964,1
3820523,699532645,1
68576095,196701619,1
16868226,44571718,1
29900785,90796663,1
20680212,626805178,1
1878509,44571718,1
399120,90796663,1
6798399,699532645,1
578543,3638964,1
3694524,196701619,1
8712755,626805178,1
11800807,196701619,1
19776877,44571718,1
85749,90796663,1
42413410,85077558,1
9426721,44571718,1
64890665,85077558,1
879121,3638964,1
6562073,3638964,1
772,699532645,1
1911803,196701619,1
16936908,90796663,1
11787325,626805178,1
174450,699532645,1
6773202,44571718,1
24868712,626805178,1
1660263,90796663,1
601423,699532645,1
29374013,196701619,1
1320925,626805178,1
491544,90796663,1
91399435,85077558,1
91478132,85077558,1
15972974,196701619,1
23013825,85077558,1
839000,3638964,1
429563,3638964,1
17480987,44571718,1
39366025,626805178,1
8595776,699532645,1
453018,90796663,1
382239,3638964,1
37348384,699532645,1
22570968,196701619,1
41836762,90796663,1
8626513,85077558,1
249687231,626805178,1
51346812,44571718,1
7099250,196701619,1
82636823,626805178,1
70772718,85077558,1
10365357,196701619,1
1615,90796663,1
183729598,699532645,1
2566657,90796663,1
12965714,626805178,1
1217953,44571718,1
145396871,196701619,1
100765093,85077558,1
6948318,44571718,1
121866228,699532645,1
1471271,3638964,1
14582466,3638964,1
1994308,699532645,1
159967,3638964,1
3841171,44571718,1
6822397,626805178,1
2222702,44571718,1
61170661,85077558,1
19605940,699532645,1
5414044,90796663,1
257505243,626805178,1
10775040,626805178,1
6227619,196701619,1
1904898,90796663,1
60706,3638964,1
13811862,196701619,1
3136012,85077558,1
47748132,196701619,1
188033,699532645,1
364860,3638964,1
4217249,90796663,1
64795664,85077558,1
20160469,44571718,1
2597430,44571718,1
18006037,3638964,1
142148415,626805178,1
797801,699532645,1
38786385,699532645,1
51311316,626805178,1
11302725,85077558,1
4975917,44571718,1
22037927,196701619,1
113502961,699532645,1
63717587,626805178,1
233766,90796663,1
4673741,196701619,1
18332586,3638964,1
87983,90796663,1
7272211,44571718,1
53004350,85077558,1
20592299,85077558,1
722923,3638964,1
1743143,699532645,1
36822136,44571718,1
1151860,196701619,1
37327967,3638964,1
31929997,626805178,1
111236979,85077558,1
56458008,196701619,1
703007,90796663,1
26872141,3638964,1
35005482,90796663,1
1542998,699532645,1
842798,90796663,1
114703025,626805178,1
139909142,44571718,1
179360065,85077558,1
52658123,85077558,1
15523883,3638964,1
77174844,196701619,1
1577802,44571718,1
54388772,699532645,1
135003320,626805178,1
3751380,90796663,1
8397079,196701619,1
31675,699532645,1
107032,3638964,1
856748,90796663,1
783473,3638964,1
68835423,699532645,1
25279263,90796663,1
4665641,44571718,1
1191411,3638964,1
43100,196701619,1
55519230,699532645,1
71615127,626805178,1
67028798,85077558,1
36349314,196701619,1
17509151,626805178,1
89695803,85077558,1
5368448,44571718,1
54492610,626805178,1
5069587,44571718,1
645503,85077558,1
34209028,196701619,1
5677153,90796663,1
9972969,44571718,1
453152,90796663,1
30049303,85077558,1
153934212,626805178,1
12445795,3638964,1
16384908,24195339,1
10776763,699532645,1
136271426,699532645,1
24448918,3638964,1
701638,196701619,1
28832557,614765452,1
272303,81598961,1
75787251,231283452,1
8327811,44571718,1
5938217,614765452,1
146980038,231283452,1
1369353,13807606,1
8505689,26066727,1
1934842,221981891,1
887,3955647,1
1500012,614765452,1
1935696,221981891,1
89246,24195339,1
71912,26066727,1
12261843,3955647,1
15073518,81598961,1
387628,13807606,1
1492215,231283452,1
9759954,24195339,1
7118508,24195339,1
4317806,13807606,1
153276757,3955647,1
324999,26066727,1
38389408,13807606,1
122007096,614765452,1
543633,3955647,1
64479353,221981891,1
99629139,81598961,1
182140263,231283452,1
1573904,24195339,1
51921719,81598961,1
124687,26066727,1
9018929,231283452,1
27962737,614765452,1
206854,221981891,1
154258,3955647,1
24250824,221981891,1
2586601,81598961,1
12211421,26066727,1
20179047,13807606,1
7681467,221981891,1
1992355,231283452,1
25545884,221981891,1
85510853,24195339,1
50577581,614765452,1
347119,81598961,1
877904,3955647,1
187227976,13807606,1
34168009,614765452,1
20662495,24195339,1
6543659,26066727,1
97570527,231283452,1
8505073,13807606,1
3525053,24195339,1
6980698,3955647,1
7605307,81598961,1
230051,26066727,1
44129612,614765452,1
1214699,3955647,1
1708631,81598961,1
102623907,231283452,1
158417,24195339,1
1430856,221981891,1
6677601,221981891,1
74630735,13807606,1
8123587,81598961,1
660358,26066727,1
56180050,13807606,1
5230331,231283452,1
34861343,614765452,1
692853,3955647,1
163481227,26066727,1
1995167,231283452,1
257977679,614765452,1
22997191,24195339,1
1270718,221981891,1
398365,3955647,1
22191473,26066727,1
1043503,3955647,1
127179,81598961,1
831646,26066727,1
73312784,614765452,1
104218420,24195339,1
2071,13807606,1
52898,13807606,1
15254163,231283452,1
87042259,231283452,1
25551249,221981891,1
2609441,614765452,1
20398475,24195339,1
139183,221981891,1
59365878,81598961,1
421894,81598961,1
24062,3955647,1
7900765,26066727,1
840815,221981891,1
5917458,231283452,1
24867111,26066727,1
693495,614765452,1
39339467,614765452,1
13354331,13807606,1
2819375,13807606,1
105312,81598961,1
65488471,231283452,1
11602629,3955647,1
68750,3955647,1
326739,26066727,1
109152,81598961,1
761962,221981891,1
318149,24195339,1
46838874,13807606,1
349548,24195339,1
133055,24195339,1
7658097,231283452,1
5534029,221981891,1
194771,614765452,1
3912408,3955647,1
7399011,26066727,1
6236,614765452,1
64239307,231283452,1
442117,81598961,1
1452216,24195339,1
738543,26066727,1
1777663,13807606,1
28952667,24195339,1
166966,221981891,1
104899,3955647,1
56778,81598961,1
8237463,231283452,1
8208970,614765452,1
10236,13807606,1
4989220,221981891,1
5993086,26066727,1
20042737,81598961,1
13547250,13807606,1
24385409,231283452,1
11997278,614765452,1
22512388,13807606,1
135443,3955647,1
4236211,24195339,1
22857896,231283452,1
108689937,614765452,1
5678122,221981891,1
2074135,3955647,1
77355440,221981891,1
2680980,81598961,1
467097,3955647,1
64261260,614765452,1
11326581,221981891,1
2071331,26066727,1
31441,26066727,1
1619808,26066727,1
82713217,231283452,1
1553248,81598961,1
1430726,24195339,1
10055601,13807606,1
2049220,24195339,1
2217416,3955647,1
6535425,13807606,1
152217,614765452,1
667349,81598961,1
1126680,231283452,1
